,high,low,strong,consistent,weak,significant,modest,considerable,persistent,solid,moderate,robust,stimulus,more,large,downward,growth,recovery,slack,increase,reduction,improve
labour_market,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
employment,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
labour,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
employment_growth,1,-1,1,0,-1,1,0,1,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,1
